tweet,class
son bitch took tic tac like movi,1
wanna get money fuck model bitch  russel simmon,1
[@] probabl wouldnt mind school much deal bitch ass teacher retweet,1
[@] fuck fag said,1
[@] femal think date pussi cute [LINK] stuff make pussi,1
[@] simplyaddictedtoguy [LINK] woof woof hot scalli lad,0
[@] ya ever ask bitch bitch  kany voic ye,1
[@] gone bring side bitch game know ya gf friend   swear,1
[@] [LINK] woof woof hot sole,0
[@] lemmi eat oreo amp dish one oreo lol,0
[@] [@] [@] bitch fuck [LINK] mayb youll get better [LINK],1
[@] fuck red malon man bitch ass niggah could pleas use complet sentenc,1
[@] eggplant emoji doey say look like scream lmao,0
[@] hennessey venom gt  [LINK] one sexi bitch,1
[@] seh pussi wetter shower curtainahmesehwetnessltlmao,1
[@] eaglesn everi eagl need see pic post bitch said racist shit,1
[@] yo fuck skateboard yall wood push faggot man ball life [LINK] [@],1
[@] babi monkey bathtim [LINK] awwww soooo ador,0
[@]  aint shit  damn skippi lol,1
[@] ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchanc,1
[@] [@] [LINK]  ring  mvp  bitch lol,1
[@] ppl talk bad ghettohood  kid grow nigga funnnnnnn ,1
[@] fact tattoostattoo [LINK] he pussi tattoo nippl,1
[@]  [@] bitch want act like nigga bad  shit aint cuteeee nigga act like bitch,1
[@] get worship bitch [LINK] woof woof,1
[@] wow [@] lost buttcheek pierc [LINK] yeah she hoe,1
[@] ok si shed rather broke bitch shrug shell tell work,1
[@] [@] [@] queer gaywad,1
[@] [@] faggot read tweet dat k wasnt even funni lol,1
[@] bitch ungrat [LINK] fr  lulwhor,1
[@] kidnap yo bitch,1
[@] [@] alsarabsss he beaner smh tell he mexican,1
[@] [@] happi birthday nig thank yo,1
[@] teacher tell homework [LINK] bitch need go,1
[@] [@] [@] nigga eat hoe lol hell yea lol john paul nigga said john paul [LINK],1
[@] would yall lil ugli bald head bitch stop make makeup amp weav,1
[@] leaf better win damn game go riot shit earlychristma better start loot nig,1
[@] go back school suck dick hoe attend,1
[@] way fuck yo bitch [LINK]  year old,1
[@] [@] come never bring food car retard,1
[@] richnow doesnt show hella tinder hoe friend anymor chill brought like like  propl,1
[@] bout cowboy shutup pussi,1
[@] lmaooooooooooo nigga [@] [LINK] ltbitch want like depress shitfoh,1
[@] [@] girl know spit g shit amp go lbvsbitch plz,1
[@] let make coupl tweet cuzzo page get twitter jaillmao bitch trick,1
[@] harlem shake excus go full retard  second,1
[@] amen miley  [LINK] need act like hoe she emot damag foh,1
[@] one loyal femal wayyyyy better hoe  idc ,1
[@] pussi lick pussi meow meow stopwhitepeopl  [LINK] ,1
[@] check th man cowboysn even faggot ny fan stand,1
[@] happen vixen ent bitch got ran threw side like foothil bitch,1
[@] [@] bitch okay nude pat  wow,1
[@] [@] your fuck gay blacklist hoe hold tehgodclan anyway [LINK],1
[@] fuck wrong bitch nobodi know,1
[@] yall shut upp make bitch,1
[@] hate pregnant type bitch,1
[@] got bitch dm ever readem top ,1
[@] basebal season win yanke love start,0
[@] littl stupid bitch fuck yoooooouuuu,1
[@] realli ask dead ass seriou tho could say bitch wheet lol,1
[@] earli bird night owl wise worm,0
[@] overdos heavi drug doesnt sound bad tonight pussi shit everi day,0
[@] pit bull photograph love fairi tale creatur [LINK] fairi tale creatur,0
[@] [@] aw fag tweet aw lol,1
[@] long laker trash could careless real cc [@] hahaha,0
[@] [@] say anyth tho kiss faggot,1
[@] play soccer cheat girl wear khaki colour cargo haircut [LINK]  yup,0
[@] could go fat ass bitch lap,1
[@]  miss call da yo po bitch twitter finna screamn freemoneymel,1
[@] ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao ,1
[@] [@]   amo lo pie [LINK] fuck yeah,1
[@] hoe think meat slap ass  ainna bruh,1
[@] yall bitch wit edg talk ,1
[@] yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag shit,1
[@] wanna sex mom fuck right pussi came damn got hack like fuck,1
[@] kiss eye open watch bitchlmfao,1
[@] woulda coulda shoulda ass hoe ,1
[@] happi bday bitch ass nigga [@] bitch roll,1
[@] [@] [@] use send bitch,1
[@] ugli bitch like wcw duh bitch aint nobodi els,1
[@] [@] nigga know hacki sack hoe nah throw look pass lmao,1
[@] glad get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,1
[@] ghettoit smart [LINK] idc,0
[@] would wife hoe wouldnt care cheat forc relationship first place,1
[@] singl excus hoe [@],1
[@] white boy power bitch black power bitch,1
[@] get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,1
[@] [@] bitch around world back,1
[@] [@] get dick suck yo parti bad bitch fr gone set  [@] ,1
[@] oomf soooo cute probabl hoe lot,1
[@] everi cartoon alway [@] save hoe lmao [LINK] lmao damn captain saveaho,1
[@] want get nose bad boi scalli chav sockfetish stink [LINK] hot sox leg,0
[@] wish bitch like brother keezi  ooooow bet,1
[@] dress cat halloween basic pussi,1
[@] pornhub get game stream featur dumb bitch gtfo [@] get katielt,1
[@] stop scare choke sex bitch ass nigga shell like say guy hit women bed foh,1
[@] [@] ha well iguess make hoe loyal bro theyll never loyal hoe nig,1
[@] [@] oh man  molli ho fuck ya seed fix,1
[@] your man refer everi girl bitch,1
[@] lmfao cat start beat shit nigga final got pussi nigga,1
[@] peel peel bring back rewind back move shaq line ooooow tf said trash,0
[@] [@] io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,1
[@] [@] naw old tape new cover  upcom mixtap kingofthehil yeah wait hoe mayn,1
[@] ol dirti foot ass bitch funni,1
[@] [@] get yellow flag amaz  hell yeah niggi,1
[@] got time bitch actin iffi,1
[@] ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,0
[@] hoe aint loyal  aint [LINK] smfh amp wonder nobodi decent want,1
[@] bruh stud keep think soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,1
[@] dri pussi bitch alway blame condom,1
[@] shut yo bitch ass [LINK] ,1
[@] gucci mane jail drop mixtap everi month hoe even text back,1
[@] love hoe money wat wrong nigga,1
[@] loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,1
[@] easi cum easi hoe fact ,1
[@] charli sheen real [LINK] major fuck respect charli sheen,1
[@] wish bae  got hoe tho,1
[@] fuck twerk bitch cook ,1
[@] [@] bitch wtf [LINK],1
[@] [@] [@] shut zoe fight pussi zoe good man good maam move along,1
[@] lmao fuck snake bitch [@] em,1
[@] big booti hoe everywher sheesh  damn ,1
[@] stay tune [@] updat report [@] b [@]  week [@] bum,0
[@] [@] play soccer cheat girl wear khaki colour cargo haircut [LINK] ye [@],0
[@] oregon choke everi year get field trash ass program rft,1
[@] def cowboy lol [@] terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,1
[@] lmfaoooo hate black peopl [LINK] black peopl nigger,1
[@] [@] [@] could bitch potent,1
[@] [LINK] piss lad past would lick dirti sole slept,0
[@] [LINK] love frat boy soft long sole,0
[@] [LINK] sexi lad hot sole arch,0
[@] [@] nah fam gotta cheat hoe depend femal feel,1
[@] [@]  got hick lol,0
[@] new twitter confus shit go back south america bitch,1
[@] toto mean ass vaginai think pussi caus toto santi like nasti pussi,1
[@] actual choos ugli bitch ass must fat,1
[@] bitch couldnt kill vibe ya tri  di love miley ,1
[@] tire bitch say look mean  nigga big af wear tight shirt grim everybodi,1
[@]  bird grandkid may never see thank climat chang [LINK] [LINK] climat,0
[@] stay beauti bitch,1
[@] wutkinda purpl ceeeleeeman gurl ju playin stupid hoe  track still shit sum gurl,1
[@] money get taller bitch get blurri,1
[@] aint never seen bitch obsess nigga obsess mine ,1
[@] kobe stay talk trash forget [LINK] [@] meant one smh,1
[@] least nigger [LINK] lmfao,1
[@] peopl alway ask mix bad asian bitch lol,1
[@] [@] ariza snake coward least crippl like hero roach lmaoo,1
[@] [@] foster home imaginari trash whoa chill show everyth tf,0
[@] lowkey tire tire quiet go sleep hoe,1
[@] [@] stop bring weird nigger mention [@] [LINK],1
[@] love hoe ,1
[@] yo girl homeboy ol weak bitch ass nigga,1
[@] [@] think worst advic gave  pussi speed lol,1
[@] quot tweet favorit animalpussi,1
[@] hate stripper tell dancer hoe ballet dancer pop pussi beethoven stripper,1
[@] andrewbry poff doubl vision  beer poff  doubl pussi  smh,1
[@] bitch twerk comput ya  ya damn ,1
[@] [@] [@] [@] princ art [LINK] nobodi takin bitch,1
[@]  welfaregovern aid claim white peopl yall black slander trash,0
[@] bitch care play role,1
[@] took find hide lime tree [@] di bitch da wrong tree bro,1
[@] drake new shoe releas nikejordan ye glitter shoe [LINK] dude fag,1
[@] [@] inna di ghetto alon lmaoo,0
[@] [@] [@] [@] hoe austin teach us austini teach get curv know,0
[@] bitch cook know suck dick  one,1
[@] fat hoe get chose lol,1
[@] hoesaintloy well hoesno one expect loyal,1
[@] [@] [@] ol bitch ass [LINK],1
[@] bruh tire nigga retweetin miley cyru nake bitch aint type bad lmaooo,1
[@] toni romo mav game mean still bitch lmao fuk cowgirl lol bitch fuck,1
[@]  holi shit freddi highmor charli chocol factori roll floor laugh,1
[@] want sex gf feel like use  anonym whata faggot,1
[@] [@] one follow  [LINK] [@] somebodi bitch,1
[@] ya bitch alway bitch clearli care annoy bitch,1
[@] catfish hoe thinkin slick nigga catch ,1
[@] worri bitch aint worri bout real,1
[@] side hoe insecur nigga handl real one,1
[@] [@] lmao bitch come scoot tent like fuck shit ,1
[@] cousin said share hoe brother said share care love brother ,1
[@] hungri ionn wanna spend money foodbrok hoe problem ,1
[@] dese hoe lyin us nigga,1
[@] [LINK] oh yeah fuck bitch,1
[@] eli man threw nfllead th intercept season lmao trash,0
[@] usc senior rb anthoni brown call head coach steve sarkisian racist quit team  [LINK] he bitch,0
[@] guess also zero time mansplain adio stfu pussi,1
[@] chill  [LINK] sexi scalli lad,0
[@] aint share bitch mine mine ,1
[@] money impress simpl broke bitch,1
[@] pisc never anybodi bitch let peopl control chang rigghhht,1
[@] [@] [@] tuku ho idk blah blah blah ,0
[@] [@] [@] mad cuh hahaha suur tuku ho ita ,0
[@] hoe crazi,1
[@] aint ever gonna slice bitch kevin hart ,1
[@] oomf fuckin fine tho  dam [@] bitch,1
[@] wonder girl gave head  boy drink magaluf twitter probli send nude fag,1
[@] newsatquest yeah bitch yeah bitch call  mayb b steveo c later jess pinkman [@],1
[@] hicki thigh right pussi gtgtgt right,1
[@] would still love longer young beauti ugli monkey ass,1
[@] [@] [@] yall come frontbitch aint come,1
[@] [@] faggot bitch [LINK],1
[@] [@] yea ipad work friday ball faggot [@] work ,1
[@] [LINK] scalli lad would get,0
[@] gerryshalloweenparti [LINK] halloween yesterday stupid nigger,1
[@] chru still supahot tho walk teacher test drop test bitch fohead [LINK],1
[@] [@] love eat pussi lol never get full lol eat shit forev lol ever,1
[@] [@] [@] [@] slush hoe nasti anyway famthem hoe tast like med,1
[@] [@] slush hoe nasti anyway fam,1
[@] bobbi bitchbi [@] get live fuck hell yea play hoe workout,1
[@] yo bitch gucci mane [@]  bitch stoner  [LINK],1
[@] ride bitch handl bar,1
[@] aint hoe get traphoussseeee,1
[@]  sad tv charact death still bitter [LINK] [LINK] stark man,0
[@] harbor bitch parti bu hoe lol,1
[@] [@] pussi love,1
[@] ultraviol video come littl bitch mtvhottest lana del rey [LINK] bitchi promo,1
[@] way fuck bitch [LINK] lmfao kittycopt,1
[@] smuggler explain help fighter along jihadi highway [LINK],0
[@] [@] aww avi look cute togeth  [LINK]  gotta get ike avi bitch ,1
[@] [@] simpl hoedont worri expos  fight mewhi ,1
[@] whi bitch boost [LINK] size exactli healthi tho,1
[@] [@] bet bitch   kim bye,1
[@] damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,1
[@] make marack girlfriend  [@] aye b pullin hoe like taught,1
[@] bruno fag boy love,1
[@] [@] must bitch  sike naw alway beef ,1
[@]  yanke look ralli bottom th rallycap,0
[@] [@] take advantag nice [@] [@] everyjuan,1
[@] happi birthday bitch nigga [@] thank pal,1
[@] sad know hoe fuck aint got stack wait till friday,1
[@] [@] cinco shit harder fucc niggaye fucc wit rich homi dat ya homeboy fucc nicca,1
[@] [@] ewww said last sundaya last sunday read nig,1
[@] punch real nigga face caus pussi nigga gonna punch right back strong mush shake,1
[@] pussi still fresh lt someth stank girl say,1
[@] ass slap one greatest thing haha  slap girl ass  got mad aint get pussi week,1
[@] [@] [@] yeah texan much better fuck retard see your mad,1
[@] nd wtf dark bitch blond pleas sever seat hoe look like blackampmild,1
[@] lane bitch need stay  left get right fuck outta face ,1
[@] hate boy deni bitch  smh,1
[@] ya nig still say yall eat butt straight face,1
[@] boss ass bitch need sit corner,1
[@] he hoe ,1
[@] paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street,1
[@] bitch hold nigga get lock nigga go colleg militari differ stori ,1
[@] friend hate ratchet hoe,1
[@] love fuck nigga hoe,1
[@] hot meat [LINK] sexi fuck scalli lad would love meet trainer,1
[@] sniff [LINK] perv scalli lad fuck yeah,1
[@] bitch love sosa,1
[@] [@] legit watch   second wtf prob caus retard smh,1
[@] name cat idea mr pussi,1
[@] [LINK] woof woof sexi thug boy scalli,1
[@] [@] see damn phone ring  marri bitch make demand havent call,1
[@] tevin favorit sophomor think he funni he realli lmaoo he littl hoe,1
[@]  sex posit [LINK] [LINK] call fuck soul outta bitch ,1
[@] [@] bore suppos cute faggot sometim,1
[@] one man trash  anoth man treasur ,0
[@] got type bad bitch thing like iongotnotyp,1
[@] [@] lassen cc  coach want feel youll get nig doubt,1
[@] god teeth  gold chain white bitch  cocain,1
[@] hoe hoe shhhhh,1
[@] dc call roller chiraq call thot across america known hoe,1
[@] gonna miss bitch bu driverno lie,1
[@] hate bitch tri put friendzon bitch tryin score put endzon  soul,1
[@] ashley young tri deni bird land mouth gt [LINK] [LINK] hahaha,0
[@] [@] yall gimp aint tht bitch huh lol,1
[@] [@] take ride  [LINK] woof woof,0
[@] oh god love victoria mitchel bitch love,1
[@] long distanc shit wack knew bitch cheat uh oh,1
[@] he right  [LINK] bitch smh,1
[@] ban dat pussi life amp gotta pay  millon dollar fine,1
[@] rose red violet blue nigger black know true [@],1
[@] sit window sill window open bird tri fli smack protecttheanim [@],0
[@] nigga gon nigga nigga sound fuckin retard,1
[@] video entir media like mock [LINK] crybabi,0
[@] [@] [@] even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup,1
[@] tim tebow got cut everi team nfl alreadi got hoe starkvil smh ,1
[@] karma bitch damn godprotectshisangel  sip tea,1
[@] fuckin hot gym pussi [LINK] fuck yeah,1
[@] jihadi patron hajjaj alajmi arrest kuwait airport [LINK],0
[@] call fireman caus turn hoe,1
[@] could never bbi lil dick tht got abort last bitch oh god,1
[@] watch women tri argu like dick actual fuck pussi hate bitch,1
[@] smoke weed public fuck cop man wanna run come retard,1
[@] tweeti bird tho [LINK],0
[@] pussi sweet like watermelon [LINK] thotermelon,1
[@] twitter rapper dm trash link [LINK],0
[@] loud bitch annoy,1
[@] eventu everi bitch turn hoe  truuu,1
[@] [@] [@] swear oomf tri talk tomorrow [@] [@] pussi,1
[@] bitch pretend tf crazi aint never lie,1
[@] [@] k bye hoe um bye ,1
[@] jacki retard blondeproblem least make grill chees,1
[@] ima keep give pussi ass nigga ah reason hate ,1
[@] photo [LINK] sole heaven,0
[@] stacey dash  [LINK] baddest bitch evaaaa,1
[@] side bitch sunday  ,1
[@] fact baldhead bitch made shit  [LINK] lmao ,1
[@] fuck wit us tweakin hoe shmurda,1
[@] actin like th day [@] [LINK] spook,0
[@] break lil bitch neck even feel sorri savag,1
[@] fuck hot scalli sneakersex sockfetish sniff trainersex [LINK] love kinki scalli,1
[@] yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo,1
[@] turn yo bitch eaterrrrrrrrr,1
[@] trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sumn,1
[@] [@] aye yall ima tryout bowl team frfr tryout pass tho two retard,1
[@] got want bitch  enjoy [LINK] crazi parti would love attend,1
[@] color contact eye blinder mine caus see lmao,0
[@] fact [@] dude hoe say got hoe [@],1
[@] rea start smack bitch period  bluffin best,1
[@] life bitch die get high caus neva know your gonna go sister perfect ,1
[@] one us drug your still wrong  [@] hahahahahahah bitch sometim ,1
[@] feel pretti fuckin ghetto smh,1
[@] [@] [@] [@] [@] swear  man easili easili behind austin nip,0
[@] true ride die bitch  [LINK] fuck hahahahah,1
[@] hgwell charli chaplin [LINK] histori photographi,0
[@] see bruno bitch ass twitter wtf bruno see drake voic,1
[@] [@] cool faggot chill tf cool nigga,1
[@] [@] sure bitch frfr tf,1
[@] twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet,1
[@] got coupl bitch say know ima let money talk  like wwyd,1
[@] grudg weirdosand bitch,1
[@] told mariam cigarett birthday also call trash rn,0
[@] [@] browni tonight kind,0
[@] text back give fuck text anoth bitch damn someon hurt lol,1
[@] ummmmmm okay [LINK] got hoe left right  yah thang,1
[@] use ymxb find slope ass,1
[@] fit lad nice gear [LINK] scalli lad trainer would get,0
[@] hell yeah bro [LINK] fuck yeah sexi scalli lad hot gear,1
[@] help mate [LINK] love scalli play fuck yeah,1
[@] lad lad [LINK] fuck yeah love scalli lad action hot trainer,1
[@] next year bitch gonna like gotta promis expos ,1
[@] [@] hot [@] lick bitch [LINK] fuck yeah eat trainer dirti fucker,1
[@] [@] yall think celebr pussi differ local  yeah meghan good,1
[@] saw ajumma walk begin say wow trash even listen  lmaoo,0
[@] need sox [LINK] fuck yeah love kinki scalli lad rank sox sneak,1
[@] ever expos femal like childish bitch nigga shiiii,1
[@] [@] [@] yasss tri new thing bestfriend bitch love,1
[@] dude rememb wop video [@] [LINK] omg find,0
[@] thick raw fuck [LINK] damn man pussi get workout,1
[@] rawr [@] sexi french scalli love frenchscal [LINK] sexi scalli woof woof,0
[@] nothin life free bitch need write ya panti,1
[@] [@] one bitch want burrito catch potosino huh haha,1
[@] nigga whole hoe couldnt said better,1
[@] hardcor way eat mac chees  boil water  snort chees powder  drink boil water  fuck bitch,1
[@] yourenotmytyp fade perpetu fresher real ass bitch rite,1
[@] annoy bitch love [LINK] judyann pretti,1
[@] [LINK] lmao bitch got huggi,1
[@] hi bitch bitch bye bitch [LINK],1
[@] look like bitch [@],1
[@] chase money   hoe  ,1
[@] stand know want ass nigga  bitch,1
[@] [@] [@] way [LINK] love chavhot sexi scalli fucker,1
[@] newli gay bitch kno shit work,1
[@] bitch want real job becom stripper lol lol,1
[@] awww meat meat feelinsi ainn feel bitch,1
[@] want snake bite  industri piercin amp tattoodem hoe accessori dea ,1
[@] babi albino  [LINK] [@],0
[@] hoe aint loyal,1
[@] yassssss order chines  bitch ate taco fat fuck,1
[@] made bitch lunch [@] bitch love lunch,1
brainer soon bitch get rich polit power view chang polit whore [LINK],1
pussi day keep devil away [@],1
aint bitch mean,1
bitch want babi want children,1
bitch must lost ,1
babi like left side bitch street side twitter said aint real,1
bae sound like ghetto word use someth els,0
batter wee cunt jewi co fuck ex emma batter girl nailed move onstop pussi,1
bleed hoe alexa,1
boolin bando wit bitch,1
browni browni love movi ,0
need bad bitch hotter might realist shit partynextdoor ever said feelin everyday,1
way punch bitch,1
caesar home [@] [@] [LINK] much bitch look like start ape shit,1
chines maverick commun comrad  know give imperialist yank birdi [LINK],0
dad say hi snapchat dad  duce bitch ,1
believ hoe fact loyal disagre believ fact loyalest bunchthes hoe,1
know ugli bitch know broke [@],1
make make fall live nigga like meee bird amp favorit song weeknd,1
worri nigga see worri nigga see dat da nigga fuckin yo bitch,1
ever give pussi away keep tight alright,1
drop stack caus bitch [@] song call dope download mixtap [LINK],1
dumb bitch dumb thing,1
eat pussi like real nigga hungri,1
eff go crippl [LINK],1
everyth look better bitch next,1
facto [@] care hoe ass look like [LINK],1
everi bad bitch nigga tire fuck,1
foreign chick lie man bitch beauti,1
fresh nigga kno need clean bitch kno work wanna see team rich [LINK],1
fuck  make rule suck dragon ball bitch call goku,1
gener ascii box nodej see abil bring flappybird node via ascii tube bird  [LINK],0
get shit bitch fine bear,1
get ass back detroit ya fuckin wigger,1
girl date okay aint mad yo unless stab heart love hoe,1
know twitter password bitch pleas,1
seen show seen hoe wasnt hot would thick,1
bitch hit hoe ,1
marri white woman lucki sumbitch  uncl rucku,1
wanna nigga trinna save account   omg imma funni ass bitch man real shit ,1
great grandma hoeher grandma hoeher mom hoe she hoe long line hoe grandpa carl everyon,1
hey go look video man found kidnap girl ohiowhat nigger  shitmybosssay,1
hey pussi still,1
draft gungho folk send afghanistan war zone show [LINK],0
hotter bitch,1
talk hoe bout bro em talk hoe bout bro em,1
crazi bitch hilari,1
know shoe dirti fuck whatev bitch call like negro one first thing look shoe dog,1
thrill billywith hillbilli heart [@] hahahahaha jesu murphi,0
call bitch [@],1
handl liquor bitch handl meeedd  chief sosa,1
chase dude chase bitch  edgar bautista,1
love hoe babi forev,1
even need pictur tamar bitch beat everi pictur,1
hoe ,1
found new way chug open mouth alot shitallysay,0
fuck hate bitch much wanna smack face tongu kiss,1
got bitch set like jada picketqueen latifah ride round niec bitch titi,1
got sister told stop call women bitch,1
guess night bitch die stewi nigga,1
bitch bitch bitch eat halibut  [@] freshrhym jerksquad slowstir,1
ladylov she marri still wanna bang sex bitch troubadour probabl,1
heard look candi man bitch,1
hope get mad ladi call bitch bitch know name individu katt william [@],1
got number  bitch boy,1
know shit eatin grin either fuck girl dream sold car know your faggot whatd sell,1
older men caus matur suppos fool us bitch,1
prolli leav bitch cup hand yo hand hand,1
said like tast like wolf pussi even know tast like,1
taught eat pussi cut hair taught eat pussi hair name movi ,1
use dress like cop oh realli yeahright mad pussi realli yesil never forget,1
went jail flock amp came home wit strike went jail bitch came home dike [@],1
fuck stand dizzi bitch two uniqu amp separ phrase overheard rel say younger,1
woke like thi bitch go back bed,1
would rather call bitch sir manag,1
beat pussi hard,1
slit throatneck [LINK],0
funki ass honkey  [@] shout [@] tonight cabaret  jttour,1
compar kfc pussi [@],1
download new person order new face bitch love goddamn axl rose yell sex robot,1
feelin like malcolm middl bitch surround miss em,1
gonna piss dimpl [@] stop wast prayer trash team lol,1
probabl main bitch chocol dip cinnamon appl,1
sick shit man [@] sit bitch ass fed bro [@] geno threw yet anoth pick smh,1
sorri fuck yo bitch realli dig nigga [@],1
ib irrit bitch syndrom,1
love hide yo bitch youll keep shorti [@],1
talk back aint get pussi [LINK],1
your bad bitch put hand high everi girl room start wave hand around,1
imma tie bitch basement donkeyfuck ass two week straight hahahahahahahahaha centmovi beforeiselfdestruct,1
mind gotta dumb hoe anthem,1
albino mexican dad he asian,0
take true direction accept larri know bitch fan like make boy cri thankyoupaulforconfirminglarri,1
alleg bedroom see word naiv amp blind bitch know husband cheat ramona dumb,1
never late tag bitch [@],1
dyke hunter dyke dyke [LINK],1
julia robert your ho [@] nottinghil,1
follow yellow brick twitter,0
lmfaoooooooooooooooooo [@] pussi good mama like guess gotta gomi mama,1
lol crippl  wendi davi [@] scientist creat remotecontrol chick studi shi penguin [LINK],0
nip ahoy spank mayb,1
kill cracker babi wtf hear wow,1
like correct wrong doesnt pimpin involv smackin bitch money,1
lmao [@]  [@] pound cake look like pussi  [LINK],1
lmao [@] drose adida lighter phone  shit retard,1
mam rene doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,0
mayb want friend mayb she stupid bitch never know make cum ,1
mine play dmx kirk franklin smh [@] well neighbor ghetto  get like beat kid,0
grandma use call porch monkey time come think refer broken bottl nigger knife ,1
momma told tell mind yoooo damn motha fuckin busi  knowin bitch,1
nip freeeeezingand okay slice bra ,1
twitter hack  pussi admit said want act like never said,1
nah girl aint gon abl make tight sinc russ loss job back like damn bitch realli,1
nah [@]  yo thought photoshop face faggot smmfhi hate yall [LINK],1
new flame song yr lol bitch super run like,1
nigga alway yell fuck bitch get money meanwhil broke still want bitch,1
nigga press pussi eeeeeen nothin,1
bitch   nan,1
boat hoe pleas thank  mom,1
ovo [@] amp kendrick lamar still trash,0
top pregnant ass sorri hoe aint never got money even water broke  [@] riptallt,1
coupl red sox gotten past first base die laugh mayb yank need teach game,0
peopl time aryan race  stand say mongerl turn world ghetto slum ,1
pistol whip dickau shoot yo bitch club sometim freestyl freestyl okay,1
pleas thank [@] pierc pussi come across timelin ,1
remi machiavelli send shot ya belli  bitch ,1
roberto one nasti hoe,1
sorri jb fanreal justin come back top comment justin timberlak video  million view son fuck bitch,1
search incred stori  white man quest find ingredi necessari make caribbean jerk chicken redneck land,1
sell soul materi wish fast car bitch tupac smile remix,1
shake bear  aka two redneck sex dead bear,1
shall compar thee summer day summer day bitch,1
gotta shape pussi lip tho [@] whole wheat organ pussi [LINK],1
said wigga man richtak durag [LINK],1
bitch anyway,1
she florida youv got sniff test swamp pussi ,1
slow fuck bitch know live classi young ladi,1
he good footbal playerbut still act like nig,1
stop pussi son shove needl heart afterearth,1
stop look us go eat pussi yuppi fuck,1
takin straight dirt finger pussi know put dick [@],1
aint bro move hoe move,1
girl plain look borderlin ugli amp chunki hey least she got nice smile amp great person,1
devil grow insid heart selfish wick white brown yellow black color restrict,0
water yellow healthi student,0
hoe aint loyal,1
hoe keep callin aint pickin,1
sour appl bitter bitch fuckin wit em,1
faggot [@] oriol petti fuckgot swept outta bitch,1
ghetto ass band  get snuck ,1
divis trash [@] saint gon win nfc southwatch,0
fan wait bitch nigga hate  old hoe date look mama [LINK],1
ghetto motherfuck missi elliott,1
recip call leftov browni hell leftov browni browni havent eaten [@],0
ratchet broad repres white ass talk trash caus racist shit black,1
